sheet,row,sku,issue,current,suggested
PRICE_ELEA_CLEAN,31,ELE-0030,Normalize category,Окисники  ARTISTO 100мл,Окисники ARTISTO 100мл
PRICE_ELEA_CLEAN,31,ELE-0030,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,32,ELE-0031,Normalize category,Окисники  ARTISTO 100мл,Окисники ARTISTO 100мл
PRICE_ELEA_CLEAN,32,ELE-0031,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,33,ELE-0032,Normalize category,Окисники  ARTISTO 100мл,Окисники ARTISTO 100мл
PRICE_ELEA_CLEAN,33,ELE-0032,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,34,ELE-0033,Normalize category,Окисники  ARTISTO 100мл,Окисники ARTISTO 100мл
PRICE_ELEA_CLEAN,34,ELE-0033,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,35,ELE-0034,Normalize category,Окисники  ARTISTO 100мл,Окисники ARTISTO 100мл
PRICE_ELEA_CLEAN,35,ELE-0034,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,36,ELE-0035,Normalize category,Окисники  ARTISTO 4000мл,Окисники ARTISTO 4000мл
PRICE_ELEA_CLEAN,36,ELE-0035,Extract volume from name,,4000 ml
PRICE_ELEA_CLEAN,37,ELE-0036,Normalize category,Окисники  ARTISTO 4000мл,Окисники ARTISTO 4000мл
PRICE_ELEA_CLEAN,37,ELE-0036,Extract volume from name,,4000 ml
PRICE_ELEA_CLEAN,38,ELE-0037,Normalize category,Окисники  ARTISTO 4000мл,Окисники ARTISTO 4000мл
PRICE_ELEA_CLEAN,38,ELE-0037,Extract volume from name,,4000 ml
PRICE_ELEA_CLEAN,39,ELE-0038,Extract volume from name,,250 g
PRICE_ELEA_CLEAN,40,ELE-0039,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,41,ELE-0040,Extract volume from name,,120 ml
PRICE_ELEA_CLEAN,42,ELE-0041,Extract volume from name,,100 g
PRICE_ELEA_CLEAN,43,ELE-0042,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,44,ELE-0043,Extract volume from name,,150 ml
PRICE_ELEA_CLEAN,45,ELE-0044,Extract volume from name,,1100 ml
PRICE_ELEA_CLEAN,46,ELE-0045,Extract volume from name,,490 ml
PRICE_ELEA_CLEAN,47,ELE-0046,Extract volume from name,,120 ml
PRICE_ELEA_CLEAN,48,ELE-0047,Extract volume from name,,250 ml
PRICE_ELEA_CLEAN,49,ELE-0048,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,50,ELE-0049,Normalize product name,EA Флюїд  ARTISTO поживний в крем-фарбу - 50 саше  по 3 г в коробцi,EA Флюїд ARTISTO поживний в крем-фарбу - 50 саше по 3 г в коробцi
PRICE_ELEA_CLEAN,50,ELE-0049,Extract volume from name,,3 g
PRICE_ELEA_CLEAN,51,ELE-0050,Extract volume from name,,98 ml
PRICE_ELEA_CLEAN,52,ELE-0051,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,53,ELE-0052,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,54,ELE-0053,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,55,ELE-0054,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,56,ELE-0055,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,57,ELE-0056,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,58,ELE-0057,Extract volume from name,,5000 ml
PRICE_ELEA_CLEAN,59,ELE-0058,Extract volume from name,,200 ml
PRICE_ELEA_CLEAN,60,ELE-0059,Extract volume from name,,200 ml
PRICE_ELEA_CLEAN,61,ELE-0060,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,62,ELE-0061,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,63,ELE-0062,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,64,ELE-0063,Extract volume from name,,5000 ml
PRICE_ELEA_CLEAN,65,ELE-0064,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,66,ELE-0065,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,67,ELE-0066,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,68,ELE-0067,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,69,ELE-0068,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,70,ELE-0069,Extract volume from name,,250 ml
PRICE_ELEA_CLEAN,71,ELE-0070,Extract volume from name,,500 ml
PRICE_ELEA_CLEAN,72,ELE-0071,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,73,ELE-0072,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,74,ELE-0073,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,75,ELE-0074,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,76,ELE-0075,Extract volume from name,,250 ml
PRICE_ELEA_CLEAN,77,ELE-0076,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,78,ELE-0077,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,79,ELE-0078,Extract volume from name,,250 ml
PRICE_ELEA_CLEAN,80,ELE-0079,Extract volume from name,,155 ml
PRICE_ELEA_CLEAN,81,ELE-0080,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,82,ELE-0081,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,83,ELE-0082,Extract volume from name,,150 ml
PRICE_ELEA_CLEAN,84,ELE-0083,Extract volume from name,,490 ml
PRICE_ELEA_CLEAN,85,ELE-0084,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,86,ELE-0085,Extract volume from name,,300 ml
PRICE_ELEA_CLEAN,87,ELE-0086,Normalize product name,EA Комуфляж для чоловіків   ARTISTO Color MEN №3.0 Темно-коричневий,EA Комуфляж для чоловіків ARTISTO Color MEN №3.0 Темно-коричневий
