sku,brand,name,category,volume,country,purchase_price,retail_price,my_retail,selected,source_sheet,source_row
ELE-0003,Elea,EAF BLUE Тонувальний гель Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл,100 ml,Bulgaria,140,225,225,no,PRICE_ELEA_CLEAN,4
ELE-0004,Elea,EAF FUCHSIA Тонувальний гель Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл,100 ml,Bulgaria,140,225,225,no,PRICE_ELEA_CLEAN,5
ELE-0005,Elea,EAF GREEN Тонувальний гель Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл,100 ml,Bulgaria,140,225,225,no,PRICE_ELEA_CLEAN,6
ELE-0006,Elea,EAF ORANGE Тонувальний гель Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл,100 ml,Bulgaria,140,225,225,no,PRICE_ELEA_CLEAN,7
ELE-0007,Elea,EAF RED Тонувальний гель Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл,100 ml,Bulgaria,140,225,225,no,PRICE_ELEA_CLEAN,8
ELE-0008,Elea,EAF VIOLET Тонувальний гель Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл,100 ml,Bulgaria,140,225,225,no,PRICE_ELEA_CLEAN,9
ELE-0009,Elea,EAF YELLOW Тонувальний гель Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл,100 ml,Bulgaria,140,225,225,no,PRICE_ELEA_CLEAN,10
ELE-0010,Elea,EA 00-N ARTISTO Коректор 100 мл,Коректори ARTISTO 100 мл,100 ml,Bulgaria,150,225,225,no,PRICE_ELEA_CLEAN,11
ELE-0011,Elea,EA 00 ARTISTO Коректор аміачний 100 мл,Коректори ARTISTO 100 мл,100 ml,Bulgaria,150,225,225,no,PRICE_ELEA_CLEAN,12
ELE-0012,Elea,EA 11 ARTISTO Коректор 100 мл,Коректори ARTISTO 100 мл,100 ml,Bulgaria,150,225,225,no,PRICE_ELEA_CLEAN,13
ELE-0013,Elea,EA 22 ARTISTO Коректор 100 мл,Коректори ARTISTO 100 мл,100 ml,Bulgaria,150,225,225,no,PRICE_ELEA_CLEAN,14
ELE-0014,Elea,EA 33 ARTISTO Коректор 100 мл,Коректори ARTISTO 100 мл,100 ml,Bulgaria,380,555,555,no,PRICE_ELEA_CLEAN,15
ELE-0015,Elea,EA 44 ARTISTO Коректор 100 мл,Коректори ARTISTO 100 мл,100 ml,Bulgaria,150,225,225,no,PRICE_ELEA_CLEAN,16
ELE-0016,Elea,EA 55 ARTISTO Коректор 100 мл,Коректори ARTISTO 100 мл,100 ml,Bulgaria,150,225,225,no,PRICE_ELEA_CLEAN,17
ELE-0017,Elea,EA 66 ARTISTO Коректор 100 мл,Коректори ARTISTO 100 мл,100 ml,Bulgaria,240,336,336,no,PRICE_ELEA_CLEAN,18
ELE-0018,Elea,EA 88 ARTISTO Коректор 100 мл,Коректори ARTISTO 100 мл,100 ml,Bulgaria,330,488,488,no,PRICE_ELEA_CLEAN,19
ELE-0019,Elea,EA G ARTISTO Коректор 100 мл,Коректори ARTISTO 100 мл,100 ml,Bulgaria,150,225,225,no,PRICE_ELEA_CLEAN,20
ELE-0020,Elea,Elea Фарба для брів графіт / №4.01 ARTISTO,Фарба для брів та вій ARTISTO,,Bulgaria,115,184,184,no,PRICE_ELEA_CLEAN,21
ELE-0021,Elea,Elea Фарба для брів коричневий / №5.7 ARTISTO,Фарба для брів та вій ARTISTO,,Bulgaria,115,184,184,no,PRICE_ELEA_CLEAN,22
ELE-0022,Elea,Elea Фарба для брів чорний/ №1.0 ARTISTO,Фарба для брів та вій ARTISTO,,Bulgaria,115,184,184,no,PRICE_ELEA_CLEAN,23
ELE-0023,Elea,Elea Фарба для брів коричнево-мідний / №6.74 ARTISTO,Фарба для брів та вій ARTISTO,,Bulgaria,115,184,184,no,PRICE_ELEA_CLEAN,24
ELE-0024,Elea,Elea Фарба для брів світло-коричневий /№7.7 ARTISTO,Фарба для брів та вій ARTISTO,,Bulgaria,115,184,184,no,PRICE_ELEA_CLEAN,25
ELE-0025,Elea,"EA Окисник 1,5 % ARTISTO 1000 мл",Окисники ARTISTO 1000мл,1000 ml,Bulgaria,255,408,408,no,PRICE_ELEA_CLEAN,26
ELE-0026,Elea,EA Окисник 12 % ARTISTO 1000 мл,Окисники ARTISTO 1000мл,1000 ml,Bulgaria,255,408,408,no,PRICE_ELEA_CLEAN,27
ELE-0027,Elea,EA Окисник 3 % ARTISTO 1000 мл,Окисники ARTISTO 1000мл,1000 ml,Bulgaria,255,408,408,no,PRICE_ELEA_CLEAN,28
ELE-0028,Elea,EA Окисник 6 % ARTISTO 1000 мл,Окисники ARTISTO 1000мл,1000 ml,Bulgaria,255,408,408,no,PRICE_ELEA_CLEAN,29
ELE-0029,Elea,EA Окисник 9 % ARTISTO 1000 мл,Окисники ARTISTO 1000мл,1000 ml,Bulgaria,255,408,408,no,PRICE_ELEA_CLEAN,30
ELE-0030,Elea,"EA Окисник 1,5 % ARTISTO 100 мл",Окисники ARTISTO 100мл,100 ml,Bulgaria,50,75,75,no,PRICE_ELEA_CLEAN,31
ELE-0031,Elea,EA Окисник 12 % ARTISTO 100 мл,Окисники ARTISTO 100мл,100 ml,Bulgaria,50,75,75,no,PRICE_ELEA_CLEAN,32
ELE-0032,Elea,EA Окисник 3 % ARTISTO 100 мл,Окисники ARTISTO 100мл,100 ml,Bulgaria,50,75,75,no,PRICE_ELEA_CLEAN,33
ELE-0033,Elea,EA Окисник 6 % ARTISTO 100 мл,Окисники ARTISTO 100мл,100 ml,Bulgaria,50,75,75,no,PRICE_ELEA_CLEAN,34
ELE-0034,Elea,EA Окисник 9 % ARTISTO 100 мл,Окисники ARTISTO 100мл,100 ml,Bulgaria,50,75,75,no,PRICE_ELEA_CLEAN,35
ELE-0035,Elea,"EA Окисник 1,5 % ARTISTO 4000 мл",Окисники ARTISTO 4000мл,4000 ml,Bulgaria,815,1304,1304,no,PRICE_ELEA_CLEAN,36
